time,open,high,low,close,vwap,volume,count,ema30,ema100,rsi,atr
2023-12-29,42616.4,43135.8,41300.6,42097.9,42281.4,2612.44640079,27964.0,41840.20294246912,36940.052891987354,50.16658852566242,1470.512810213915
2023-12-30,42097.9,42577.2,41551.8,42150.0,42162.8,1306.55262626,16586.0,41860.1898494066,37043.22016145295,50.44187335300175,1438.719038055778
2023-12-31,42150.1,42874.4,41991.1,42241.1,42457.7,1509.62365704,15673.0,41884.76469783198,37146.148475087546,50.95208171606576,1399.0462496232226
2024-01-01,42241.1,44187.5,42215.7,44180.8,43314.3,2457.30419634,19869.0,42032.89600764927,37285.448505283835,60.31933923058307,1439.9572317929926
2024-01-02,44180.8,45913.4,44113.2,44972.0,45175.4,6462.5537177,45964.0,42222.515620059,37437.657445773264,63.39062737020821,1465.6888580934935
2024-01-03,44975.4,45509.3,39501.0,42849.5,42976.7,7003.5579979,59410.0,42262.966225216485,37544.822644866865,51.80631035683869,1790.161082515387
2024-01-04,42849.5,44784.9,42682.0,44211.9,43806.5,3461.20649181,34669.0,42388.703888105745,37676.84397863188,57.21153457971477,1812.4995766214308
2024-01-05,44210.0,44365.0,42480.0,44179.9,43702.7,3371.04701335,37163.0,42504.2649275828,37805.61736519362,57.04968676914193,1817.6781782913288
2024-01-06,44179.9,44241.8,43451.0,43960.0,43851.0,990.41936124,16180.0,42598.18331935165,37927.48632825909,55.879815356259535,1744.3297369848055
2024-01-07,43960.0,44483.9,43648.1,43915.9,44117.1,1547.79663154,19115.0,42683.197298748324,38046.068777204455,55.63342782421667,1679.4347557716053
2024-01-08,43915.9,47306.6,43208.5,46989.4,45271.9,6838.67422667,52738.0,42961.01682786134,38223.16444498258,66.66511689892627,1852.1965589307763
2024-01-09,46989.5,47988.0,44500.0,46128.7,46421.2,8483.34519719,62186.0,43165.38348412835,38379.70970349778,62.01477804455675,1969.0396618642922
2024-01-10,46128.7,47699.6,44331.8,46664.8,45968.2,8288.08064486,65957.0,43391.15229160395,38543.77089748792,63.71270587610449,2068.951114588271
2024-01-11,46678.1,49000.0,45619.1,46350.4,47006.5,7397.10583103,66493.0,43582.071498597244,38698.35761238915,61.9634177956401,2162.6617492605374
2024-01-12,46350.4,46500.0,41476.0,42800.1,44211.1,9423.71540987,66644.0,43531.6217244942,38779.58023392599,46.45319396101004,2367.043052884784
2024-01-13,42800.1,43230.0,42459.8,42827.9,42852.4,1718.42082056,25811.0,43486.220322913934,38859.74498176904,46.5659824960649,2252.982834821585
2024-01-14,42827.9,43055.0,41717.0,41719.1,42573.2,2802.78187532,25058.0,43372.21256014529,38916.36587321916,42.70250944789947,2187.6269180486147
2024-01-15,41717.1,43318.0,41700.0,42506.4,42589.8,2405.08532051,23846.0,43316.35368529722,38987.45565790789,46.120748175663834,2146.9392810451423
2024-01-16,42499.3,43568.3,42042.1,43134.7,42961.5,2360.50106233,26322.0,43304.6340926974,39069.57930824635,48.74850296190874,2102.6007609704893
2024-01-17,43134.7,43165.0,42190.2,42747.8,42597.0,2079.15524064,21927.0,43268.70931252338,39142.4153615484,47.22122909833191,2022.0435637583118
2024-01-18,42746.1,42877.0,40625.0,41264.7,41618.5,3426.982335,28062.0,43139.41838913478,39184.44079993359,41.8133498351133,2038.469023489861
